Time elapsed,Signal,Attention,Meditation,EEG delta, EEG theta,EEG low alpha,EEG high alpha,EEG low beta,EEG high beta,EEG low gamma,EEG mid gamma,Raw,Blink strength
0.0339966,0,27,57,336078,78524,40642,20037,8831,6316,1382,3293,-21|-9|9|10|-1|7|19|25|22|-2,0
0.0679321,0,27,57,336078,78524,40642,20037,8831,6316,1382,3293,-20|-3|12|35|43|36|12|-9|-25|-5|1|1|4|-7|-7|1|2|-9|-25|-6|10|0|-10|-2,0
0.10199,0,27,57,336078,78524,40642,20037,8831,6316,1382,3293,11|-17|-52|-46|-25|-19|-4|23|21|4|-25|-5|36|49|37|35|44|32,0
0.134949,0,27,57,336078,78524,40642,20037,8831,6316,1382,3293,33|56|99|137|151|149|151|151|148|157|161|137|72|25|40|83|136,0
0.169983,0,27,57,336078,78524,40642,20037,8831,6316,1382,3293,169|124|96|102|123|137|149|148|164|120|43|102|70|11|29|74|85|104,0
0.204041,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,125|52|-8|45|96|122|124|58|38|53|55|88|59|-38|-9,0
0.238953,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,74|89|128|156|80|13|8|41|100|96|50|69|105|102|120|162|150|101|92|102,0
0.27301,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,90|53|75|68|52|54|56|21|-28|-74|-19|99|136|65|-12|-18|72|203,0
0.307922,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,228|67|-49|7|37|-52|-109|-82|-11|35|32|9|-43|-55|22|129|177,0
0.34198,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,149|34|-60|-1|25|-40|35|134|124|132|101|-11|-57|-21|-9|12|43,0
0.375977,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,60|45|20|36|37|75|102|70|11|36|57|24|44|44|6|-9|-14|0,0
0.409973,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,32|22|-5|-14|-1|-33|-18|24|0|-49|-49|-9|42|37|12|4|25|57,0
0.444031,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,54|65|160|101|-40|-61|0|55|80|61|50|55|69|36|21|57|83,0
0.478943,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,13|-29|-18|19|3|-28|-42|9|33|3|-24|-29|-24|-11|11|18|5|23,0
0.513,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,60|76|108|134|57|-33|-41|19|58|-18|-60|-7|8|-12|-6|29|29,0
0.546997,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,-20|-38|0|54|43|-2|10|28|38|20|-18|-23|4|41|70|71|29,0
0.580994,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,24|44|60|50|11|-1|12|11|26|53|60|55|36|26|49|66|27|-7,0
0.614929,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,-19|10|68|99|82|33|25|51|43|26|51|90|119|107|64|21|-11|-5,0
0.648987,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,40|59|52|38|20|22|40|54|90|87|58|43|39|41|51|59|41,0
0.682983,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,16|21|28|24|26|37,0
0.71698,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,44|48|22|-10|-17|6|34|51|52|33|22|22|23|21|8|6|13|22|32|40|38|33|25|18|9|16|27,0
0.750977,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,39|51|59|70|86|109|133|138|129|115|107|104|98|85|86|90|93|98|96,0
0.785034,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,88|74|71|67|49|39|52|71|86|89|64|45|57|50|35|53|76|68,0
0.81897,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,66|76|74|66|72|71|65|65|75|77|70|61|60|67,0
0.852966,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,71|69|61|64|67|70|75|86|92|84|73|65|53|44|50|64|65|54|35|12,0
0.885986,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,4|6|24|48|54|48|48|58|72|72|64|52|48|51|53|48|8,0
0.919983,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,-23|-23|3|26|33|29|33|44|68|85|84|73|58|44|43|42|41,0
0.953003,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,43|48|61|71|60|57|58|57|50|34|27|28|32|35|33|35|40|41,0
0.988037,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,38|28|24|22|34|45|49|39|32|23|11|6|8|21|35|48|54,0
1.02197,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,38|7|-4|-1|-1|7|7|-7|-10|8|26|38|37|18|10|17|21|28,0
1.05701,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,41|41|34|29|32|32|29|33|37|32|21|10|12|21|16|1|0,0
1.091,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,11|20|18|12|5|-1|-2|3|3|-2|-5|-6|-8|1|21|25,0
1.125,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,20|13|19|7|-5|-5|5|22|38|34|23|10|4|6|4|1|3|11,0
1.15802,0,13,60,1063169,257630,64584,124223,29627,32843,23716,5976,26|27|21|10|18|24|25|34|37|41|41|26|20|27|38|39|33|25,0
1.19196,0,50,70,52114,12936,2940,18998,9145,8153,5215,8952,29|35|50|69|74|61|52|54|51|35|32|45|67|71|57,0
1.22699,0,50,70,52114,12936,2940,18998,9145,8153,5215,8952,34|25|36|48|59|61|51|58|93|121|117|87|55|38|43|59|69|58|50|53,0
1.26099,0,50,70,52114,12936,2940,18998,9145,8153,5215,8952,69|82|71|41|12|5|21|40|54|58|52|41|33|23|11|7|-5|-18,0
1.29596,0,50,70,52114,12936,2940,18998,9145,8153,5215,8952,-18|-6|13|34|35|25|8|-6|-6|13|38|55|60|50|43|41|35|35,0
1.32996,0,50,70,52114,12936,2940,18998,9145,8153,5215,8952,34|17|10|50|80,0
1.36298,0,50,70,52114,12936,2940,18998,9145,8153,5215,8952,100|120|123|114|114|131|178|243|280|290|307|332|379|442|482|503|547|599|661|725|748|738|729|757|762|737|704|667|641|633,0
1.39697,0,50,70,52114,12936,2940,18998,9145,8153,5215,8952,631|617|567|509|482|470|440|404|377|348|306|253|198|149|103|66|32,0
1.43097,0,50,70,52114,12936,2940,18998,9145,8153,5215,8952,-13|-74|-131|-163|-178|-202|-243|-297|-349|-376|-388|-401|-414|-429|-445|-455|-456,0
1.46503,0,50,70,52114,12936,2940,18998,9145,8153,5215,8952,-459|-476|-498|-497|-494|-506|-507|-498|-489|-488|-488|-490|-491|-487|-467|-455|-446|-441,0
1.49896,0,50,70,52114,12936,2940,18998,9145,8153,5215,8952,-439|-422|-407|-407|-420|-428|-424|-414|-401|-381|-373|-370|-360|-355|-357|-360|-344,0
1.53296,0,50,70,52114,12936,2940,18998,9145,8153,5215,8952,-322|-309|-301|-297|-296|-289|-276|-276|-281|-276|-248|-216|-182|-156|-149|-138|-124,0
1.56598,0,50,70,52114,12936,2940,18998,9145,8153,5215,8952,-120|-123|-131|-123|-101|-76|-60|-60|-57|-35|-21|-25|-36|-25|-2|17|17,0
1.60101,0,50,70,52114,12936,2940,18998,9145,8153,5215,8952,6|6|27|40|36|25|28|45|58|73|80|74|76|90|105|105|97|86,0
1.63501,0,50,70,52114,12936,2940,18998,9145,8153,5215,8952,90|114|129|123|119|130|132|119|112|113|119|124|121|114|112|117|116|116,0
1.66797,0,50,70,52114,12936,2940,18998,9145,8153,5215,8952,119|119|112|102|96|98|103|113|116|105|97|104|117|136|152|148|128,0
1.70203,0,50,70,52114,12936,2940,18998,9145,8153,5215,8952,113|114|122|130|129|131|137|140|133|131|135|133|112|83|59|58|72,0
1.73596,0,50,70,52114,12936,2940,18998,9145,8153,5215,8952,89|98|87|82|103|119|114|98|90|75|70|65|49|16|-2|0|16,0
1.76898,0,50,70,52114,12936,2940,18998,9145,8153,5215,8952,24|32|27|13|7|12|19|17|9|8|3|-7|-14|-1|26|39|35,0
