Time elapsed,Signal,Attention,Meditation,EEG delta, EEG theta,EEG low alpha,EEG high alpha,EEG low beta,EEG high beta,EEG low gamma,EEG mid gamma,Raw,Blink strength
0.0469999,0,0,0,34899,22380,32373,15101,7363,17553,7046,17845,-2|-18|-27|-39|-42|-38|-24|-14|-20|-40|-66|-69|-56|-49|-50|-46|-42|-30|-14|-8|0|4|-3,0
0.0950003,0,0,0,34899,22380,32373,15101,7363,17553,7046,17845,-6|11|34|35|23|20|25|25|13|4|5|5|3|3|22|43|42|25|27|33|16|-8|-7|7|20,0
0.142,0,0,0,34899,22380,32373,15101,7363,17553,7046,17845,29|27|11|-6|-9|-3|-2|-6|-18|-10|9|21|24|23|7|-2|10|33|50|52|42|27|20|21,0
0.189,0,0,0,34899,22380,32373,15101,7363,17553,7046,17845,27|22|12|20|28|23|22|25|24|27|40|38|20|17|28|43|53|52|51|67|93|87|33|-14|-6,0
0.226,0,0,0,34899,22380,32373,15101,7363,17553,7046,17845,34|52|35|20|18|26|26|12|-3|-4|12|11|12|26|38|52|64|38,0
0.273,0,0,0,34899,22380,32373,15101,7363,17553,7046,17845,-17|-40|-21|12|49|48|19|-4|-21|-22|-7|12|32|19|20|49|48|12|3|7|5|8|5|-11,0
0.326,0,0,0,34899,22380,32373,15101,7363,17553,7046,17845,-26|-24|-5|17|45|74|58|41|66|106|119|100|74|49|33|38|37|22|17|26|40|38|27|28|38|56|73|59,0
0.373,0,0,0,34899,22380,32373,15101,7363,17553,7046,17845,5|-42|-46|-35|-38|-45|-40|-13|0|-8|-26|-13|22|56|56|21|-10|-13|-4|8|22|16|5,0
0.426,0,0,0,34899,22380,32373,15101,7363,17553,7046,17845,-2|6|27|49|74|84|52|17|-3|6|25|37|28|20|18|21|8|1|-2|1,0
0.473,0,0,0,34899,22380,32373,15101,7363,17553,7046,17845,-4|9|71|108|105|84|51|36|23|21|20|0|2|33|43|33|26|9|7|41|54|38|8|-14|-10|0|-5|-12|-13|7|55|90,0
0.526,0,0,0,34899,22380,32373,15101,7363,17553,7046,17845,85|38|2|18|57|69|51|43|44|54|66|92|137|134|80|11|-8|12|42|43|20|1|-13|-13|17|28|9,0
0.573,0,0,0,34899,22380,32373,15101,7363,17553,7046,17845,12|55|82|88|99|87|80|83|74|44|23|-3|-12|7|58|88|64|37|24|16|19|18|4,0
0.625999,0,0,0,34899,22380,32373,15101,7363,17553,7046,17845,-4|0|16|26|24|0|-34|-33|0|26|18|0|13|36|52|89|103|64|28|17|16|7|24|54|49|12|-4|8|25,0
0.672999,0,0,0,34899,22380,32373,15101,7363,17553,7046,17845,21|2|19|38|9|-10|5|20|24|29|38|53|82|76|32|-5|26|72|34|-22|-50|-56|-50,0
