Time elapsed,Signal,Attention,Meditation,EEG delta, EEG theta,EEG low alpha,EEG high alpha,EEG low beta,EEG high beta,EEG low gamma,EEG mid gamma,Raw,Blink strength
0.0530014,0,57,83,108572,3686,1385,5584,3546,2220,858,587,18|23|18|11|17|35|25|0|-4|12|33|34|37|23|6|-2|-5|-3|-6|-8|8|38|65|71|13|-22|-3,0
0.0999985,0,57,83,108572,3686,1385,5584,3546,2220,858,587,39|57|37|5|0|12|32|57|81|66|53|53|40|25|25|37|28|32|51|67|57|49|34|27,0
0.153,0,57,83,108572,3686,1385,5584,3546,2220,858,587,27|40|73|55|10|1|12|23|22|7|-21|-38|-26|-6|-7|-19|-8|24|50|60|65|70|59|45|49|49|40,0
0.199997,0,57,83,108572,3686,1385,5584,3546,2220,858,587,27|21|2|-18|-10|-3|-5|-2|7|21|40|68|58|39|34|40|53|51|21|-3|-6|2|12|17|24,0
0.252998,0,57,83,108572,3686,1385,5584,3546,2220,858,587,39|39|39|41|44|45|41|52|68|80|61|41|41|54|60|41|35|25|4|11|25|7|-7|-2|3|5,0
0.299995,0,57,83,108572,3686,1385,5584,3546,2220,858,587,7|1|6|34|54|64|66|54|40|43|29|12|-1|5|32|43|45|28|9|28|49|45|39|38,0
0.352997,0,57,83,108572,3686,1385,5584,3546,2220,858,587,43|57|73|87|82|70|57|42|45|67|76|82|82|73|71|69|64|57|67|69|70|80|96|107|91|68|42,0
0.400002,0,57,83,108572,3686,1385,5584,3546,2220,858,587,26|27|39|53|44|22|19|37|49|49|42|26|11|9|18|40|43|34|37|48|50|45|29|23|28,0
0.452995,0,57,83,108572,3686,1385,5584,3546,2220,858,587,36|37|34|32|39|51|42|28|38|54|51|53|76|81|60|37|25,0
0.5,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,23|32|38|37|24|5|-7|-8|4|13|1|-18|-13|-8|-7|-13|-14|-8|-6|-8|-3|-2|-8|-5|7|19|23|27|21|12|27|37|36|40,0
0.553001,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,44|36|26|35|48|64|68|37|9|16|36|51|59|51|38|40|23|6|17|32|18|13|16|6|-6|-6|3,0
0.599998,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,6|-5|-2|35|48|24|11|21|32|26|18|19|23|24|21|1|-8|4|23|39|34|9|-18|-20,0
0.653,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,-4|17|43|48|39|26|17|21|29|41|50|50|28|20|34|38|23|9|5|2|11|12|23|53|55|40|44,0
0.699997,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,58|64|64|59|48|39|38|36|20|17|33|39|34|39|45|49|49|44|28|16|17|33|59|73,0
0.752998,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,60|40|51|55|53|59|67|76|76|51|20|8|21|50|66|50|28|24|38|53|55|48|48|41|26|27|37|29,0
0.799995,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,24|24|27|25|10|0|4|10|16|9|8|19|39|55|57|49|42|39|38|41|42|35|26|26,0
0.852997,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,35|48|58|55|35|36|42|35|19|18|-1|-5|21|32|13|10|32|60|90|83|41|25|34|52|64|60|42,0
0.900002,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,24|20|19|20|26|48|45|33|20|10|-2|-14|-8|3|-18|-50|-56|-30|0|-5|-24|-33|-27,0
0.952995,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,-20|-12|-23|-30|-11|19|39|23|0|-8|4|38|55|42|19|12|35|54|35|7|-7|1|23|49|60|57|42|37,0
1,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,44|53|60|60|72|90|80|56|52|64|74|81|69|49|66|80|68|58|52|44|42|43|33|16,0
1.053,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,12|29|26|23|25|27|27|16|7|16|7|0|12|44|68|68|64|65|59|49|40|33|34|53|74|72|52,0
1.1,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,67|75|48|24|21|27|38|41|41|41|45,0
1.153,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,48|43|48|56|72|69|37|-1|-6|10|10|10|27|21|6|9|26|26|8|-1|-3|5|12|22|34|38|57|67|49|28|16|26|42|26|-3|-10|23|58|67|67,0
1.2,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,52|40|52|58|64|37|11|18|28|28|27|38|35|34|42|41|27|40|64|34|0|-1|17|25|33,0
1.253,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,33|36|52|55|43|43|49|65|68|54|27|19|21|33|48|56|49|37|29|39|48|44|34|21|33|38,0
1.3,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,27|10|5|11|21|28|19|0|-2|5|17|26|24|10|4|12|27|38|44|51|51|42|28|21,0
1.353,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,16|16|33|35|22|19|26|38|52|66|57|41|37|39|38|21|5|-7|1|28|42|25|11|24|43|51|53|55,0
1.4,0,66,87,11258,15953,19761,7737,5197,8264,4154,2757,58|69|82|73|68|68|73|81|73|51|44|52|41|32|24|19|11|8|21|35|36|40|38|35,0
1.453,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,34|44|57|50|21|8|10|9|10|16|5|1|19|32|22|12|8|8|12|18|43|68|80|72|43,0
1.5,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,17|16|34|34|19|18|27|49|61|56|51|42|27|22|27|42|43|42|39|33|26|24|25|29|40|37,0
1.553,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,40|41|25|6|5|16|12|29|35|8|-7|4|39|72|74|56|33|19|24|45|53|34|23|17|13|17|23,0
1.6,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,38|44|26|26|33|9|1|27|41|41|40|35|32|27|29|34|38|40|39|37|37|45|56|59,0
1.653,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,50|42|45|49|45|39|34|24|12|18|21|19|32|52|54|50|43|36|38|28|17|16|32|41|37|17|9,0
1.7,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,20|33|52|75|73|40|18|13|26|40|42|24|16|21|19|25|36|37|25|9|-3|3|6|5,0
1.754,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,17|29|36|32|26|19|5|-6|-2|17|16|5|16|27|23|13|34|49|50|73|102|93|83|109|119|138,0
1.80099,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,149|144|150|160|168|187|218|246|263|276|279|282|280|289|299|299|292|262|226|216|214|195|160|124|100|91,0
1.853,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,97|88|48|-13|-71|-105|-123|-139|-156|-165|-183|-206|-184|-162|-177|-199|-205|-194|-169|-163|-182|-189,0
1.9,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,-156|-148|-167|-170|-149|-135|-151|-169|-157|-146|-155|-151|-122|-109|-115|-123|-113|-76|-74|-108|-106|-87|-74|-55|-40|-28|-29|-37,0
1.953,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,-41|-54|-60|-52|-35|-30|-22|-5|19|5|-6|16|35|12|-3|12|32|26|21|17|28|44|28|34|44|42|34|27,0
2,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,22|27|37|40|44|32|41|82|87|85|87|81|69|66|81|112|129|112|75|61|68|73|69|53,0
2.053,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,49|57|59|69|85|91|76|74|69|40|26|22|20|11|11|18|24|27|10|1|8|24|44|55|65|71|70,0
2.1,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,43|23|37|66|69|54|50|51|67|87|88|80|74|77|75|76|104|90|50|42|43|24|1|20,0
2.153,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,51|52|40|65|84|74|65|66|82|114|104|57|36|40|53|57|58|68|71|60,0
2.2,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,52|48|42|48|40|34|60|66|34|8|5|24|36|37|23|10|12|24|28|20|3|3|9|3|2|6|24|40|23|11|12|16,0
2.253,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,11|11|16|5|11|37|50|48|29|3|-5|-8|-9|-1|12|26|37|20|8|25|43|50|56|58|49|28,0
2.3,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,21|35|56|58|52|49|32|21|25|34|33|39|41|39|41|40|43|58|54|40|35|20|5|19,0
2.353,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,52|37|10|19|51|57|49|37|32|26|35|49|25|9|38|76|83|67|37|23|23|23|32|38|42|35|21|12,0
2.4,0,69,87,11629,9699,9700,3954,4796,3451,2762,1099,11|10|17|60|85|68|39|10|10|25|17|-9|-21|1|37|58|55|54|61|52|39|52|61,0
