Time elapsed,Signal,Attention,Meditation,EEG delta, EEG theta,EEG low alpha,EEG high alpha,EEG low beta,EEG high beta,EEG low gamma,EEG mid gamma,Raw,Blink strength
0.0330811,0,30,47,210678,136345,52066,15081,16140,9719,7008,1920,40|40|24|16|17|12|17|13|7|-11|-39|-56|-56|-51|-49|-51|-57,0
0.0670166,0,30,47,210678,136345,52066,15081,16140,9719,7008,1920,-54|-41|-42|-53|-56|-46|-34|-9|22|24|2|-8|6|24|37|39|33|25|22,0
0.101074,0,30,47,210678,136345,52066,15081,16140,9719,7008,1920,29|43|52|38|8|-2|13|16|-1|-12|-11|-5|3|20|36|49|52,0
0.135986,0,30,47,210678,136345,52066,15081,16140,9719,7008,1920,50|51|53|57|58|57|55|56|72|68|44|57|84|90|77|58|60|59,0
0.170044,0,30,47,210678,136345,52066,15081,16140,9719,7008,1920,40|29|42|54|61|68|67|55|54|65|70|67|41|18|17|36|56|66,0
0.204102,0,30,47,210678,136345,52066,15081,16140,9719,7008,1920,59|48|48|58|76|96|81|56|37|28|34|35|28|26|28|26|25|28,0
0.239014,0,30,47,210678,136345,52066,15081,16140,9719,7008,1920,38|54|55|45|36|26|23|18|11|26|52|61|48|28|16|18|23|21,0
0.273071,0,30,47,210678,136345,52066,15081,16140,9719,7008,1920,7|7|9|5|-5|-13|-13|-13|3|25|27|20|20|28|40|48|45,0
0.307007,0,30,47,210678,136345,52066,15081,16140,9719,7008,1920,38|33|41|45|39|37|29|26|22|21|34|36|29|33|40|49|54,0
0.341064,0,30,47,210678,136345,52066,15081,16140,9719,7008,1920,57|55|48|34|24|21|32|34|28|22|17|21|24|27|27|20|4,0
0.374023,0,30,47,210678,136345,52066,15081,16140,9719,7008,1920,8|20|20|9|2|9|23|28|18|5|4|1|6|34|50|44|42|49,0
0.407104,0,30,47,210678,136345,52066,15081,16140,9719,7008,1920,44|50|57|57|38|28|41|43|42|32|9|8|18|9|9|24|32,0
0.442017,0,30,47,210678,136345,52066,15081,16140,9719,7008,1920,34|25|32|39|29|25|29|39|49|68|86|98|90|82|76,0
0.476074,0,30,43,64718,76300,4650,20146,12925,17551,2156,1989,71|58|51|39|26|16|9|5|-9|-24|-26|-24|-23|-7|18|36|43|43|41,0
0.51001,0,30,43,64718,76300,4650,20146,12925,17551,2156,1989,37|36|39|53|58|56|49|33|16|18|42|67|60|27|3|1|10|13,0
0.544067,0,30,43,64718,76300,4650,20146,12925,17551,2156,1989,8|12|29|41|50|51|52|54|50|50|51|44|36|33|38|43|50|55,0
0.578125,0,30,43,64718,76300,4650,20146,12925,17551,2156,1989,64|73|56|36|26|35|49|52|55|64|67|64|66|73|74|71|71,0
0.612061,0,30,43,64718,76300,4650,20146,12925,17551,2156,1989,67|59|56|53|53|51|40|29|25|32|44|51|48|34|18|2|3,0
0.646118,0,30,43,64718,76300,4650,20146,12925,17551,2156,1989,18|25|28|40|37|27|27|34|33|22|20|28,0
0.679077,0,30,43,64718,76300,4650,20146,12925,17551,2156,1989,28|21|17|17|23|24|12|-6|-20|-23|-30|-46|-66|-76|-84|-83|-88|-99|-87|-78|-71,0
0.713013,0,30,43,64718,76300,4650,20146,12925,17551,2156,1989,-51|-27|-10|5|12|9|3|-1|0|2|16|40|57|53|26|11|16|17|25,0
0.745972,0,30,43,64718,76300,4650,20146,12925,17551,2156,1989,34|37|41|44|43|36|28|38|43|42|39|35|24|27|39|50|44,0
0.779053,0,30,43,64718,76300,4650,20146,12925,17551,2156,1989,34|25|25|33|36|41|52|48|29|32|50,0
0.81311,0,30,43,64718,76300,4650,20146,12925,17551,2156,1989,66|72|64|50|35|23|10|8|5|0|1|4|13|21|16|19|38|42|26|23|51|72,0
0.847046,0,30,43,64718,76300,4650,20146,12925,17551,2156,1989,60|48|52|73|100|101|92|90|97|120|132|106|81|77|103|125|116|83|57,0
0.881104,0,30,43,64718,76300,4650,20146,12925,17551,2156,1989,54|52|50|53|58|71|86|90|74|58|59|64|52|40|33|22|24,0
0.915039,0,30,43,64718,76300,4650,20146,12925,17551,2156,1989,34|41|49|41|40|45|43|34|27|34|38|29|34|55|72|86,0
0.947998,0,30,43,64718,76300,4650,20146,12925,17551,2156,1989,76|55|44|28|6|18|48|58|35|7|12|32|40|48|51|52|55|42,0
0.983032,0,30,43,64718,76300,4650,20146,12925,17551,2156,1989,32|33|32|40|53|71|65|45|24|8|13|28|36|34|34|35|35,0
1.01697,0,30,43,64718,76300,4650,20146,12925,17551,2156,1989,24|11|20|34|36|27|33|48|44|28|22|25|17|10|11|10|10|13|18,0
1.05103,0,30,43,64718,76300,4650,20146,12925,17551,2156,1989,9|-5|-6|-1|6|10|5|-3|3|8|5|10|17|12|19|28,0
