Time elapsed,Signal,Attention,Meditation,EEG delta, EEG theta,EEG low alpha,EEG high alpha,EEG low beta,EEG high beta,EEG low gamma,EEG mid gamma,Raw,Blink strength
0.0470009,0,41,54,247388,157265,22533,2834,15260,34555,9313,10498,17|32|38|48|48|40|21|5|11|29|21|8|10|38|66|69|53|16|3|27|52|42|34|54,0
0.100002,0,41,54,247388,157265,22533,2834,15260,34555,9313,10498,86|90|68|50|37|24|12|12|22|40|48|39|33|28|26|33|33|17|5|1|10|28|36|27|24|32|38,0
0.147003,0,41,54,247388,157265,22533,2834,15260,34555,9313,10498,43|43|40|59|82|84|89|104|117|150|169|136|96|102|136|178|217|236|250|235|212|216|244|262|272,0
0.200001,0,41,54,247388,157265,22533,2834,15260,34555,9313,10498,275|265|242|215|203|219|250|273|273|235|180|134|112|122|162|194|170|116|64|23|-5|-29|-51|-76|-116,0
0.247002,0,41,54,247388,157265,22533,2834,15260,34555,9313,10498,-162|-218|-282|-309|-294|-282|-299|-338|-376|-409|-422|-421|-417|-427|-426|-411|-395|-389|-370|-349|-342|-329|-327|-330|-317|-283,0
0.301003,0,41,54,247388,157265,22533,2834,15260,34555,9313,10498,-236|-211|-204|-202|-197|-183|-167|-139|-108|-87|-78|-75|-61|-42|-33|-26|-14|0|4|2|9|26,0
0.348003,0,41,54,247388,157265,22533,2834,15260,34555,9313,10498,26|19|12|19|36|57|58|53|56|59|51|35|33|53|76|76|67|65|71|84|98|99|99|102|107|101|90|89|92,0
0.401001,0,41,54,247388,157265,22533,2834,15260,34555,9313,10498,100|105|106|97|89|91|104|122|135|140|132|108|91|88|104|121|120|103|91|82|59|32|28|71|130|152|145|138,0
0.448002,0,41,54,247388,157265,22533,2834,15260,34555,9313,10498,149|173|194|197|199|194|176|147|123|121|117|104|100|100|108|112|117|116|100|74|56|50|53,0
0.501003,0,41,54,247388,157265,22533,2834,15260,34555,9313,10498,49|42|40|40|35|26|32|52|86|106|112|106|104|100|72|34|-4|-18|-9|19|56|71|58|48|56|66|68|77,0
0.548,0,41,54,247388,157265,22533,2834,15260,34555,9313,10498,84|64|41|42|59|82|83|69|58|54|50|54|48|21|4|22|55|55|52|60|81|92|73,0
0.601002,0,41,54,247388,157265,22533,2834,15260,34555,9313,10498,45|50|69|74|53|26|19|25|38|50|38|12|-4|-8|-10|-5|1|-3|-23,0
0.648003,0,41,54,247388,157265,22533,2834,15260,34555,9313,10498,-36|-14|10|20|44|69|60|51|65|86|97|91|83|70|59|39|19|17|12|0|-5|6|20|27|44|74|69|26|17|42|64|66|72,0
0.701,0,41,54,247388,157265,22533,2834,15260,34555,9313,10498,70|66|64|52|54|60|60|49|36|43|59|77|84|80|65|53|56|60|85|96|64|35|53|55|29|35|53,0
0.748001,0,41,54,247388,157265,22533,2834,15260,34555,9313,10498,42|11|8|33|74|101|99|84|85|92|87|66|44|59|83|82|66|68|76|76|68|49|27|23,0
0.801003,0,41,54,247388,157265,22533,2834,15260,34555,9313,10498,43|69|80|66|32|36|75|70|18|7|35|36|9|-13|-24|-13|2|23|43|18|-38|-23|38|43|20|10|8,0
0.848003,0,41,54,247388,157265,22533,2834,15260,34555,9313,10498,9|34|57|55|51|28|10|16|36|44|20|10|39|55|42|34|32|35|22|12|22|44|54|54,0
0.901001,0,63,50,170800,4237,5578,1106,3634,5156,1402,1726,43|33|25|35|53|51|40|44|38|25|18|24|23|28|28|9|10|24|43|64|48|5|-18|-33|-38,0
0.948002,0,63,50,170800,4237,5578,1106,3634,5156,1402,1726,-17|3|-23|-68|-73|-54|-21|7|27|57|74|80|81|72|71|82|98|76|42|39|45|34|19|40|36|23,0
1.001,0,63,50,170800,4237,5578,1106,3634,5156,1402,1726,51|68|35|12|22|38|37|36|48|48|36|24|33|43|40|42|48|59|82|74|42|36|70|88|81|66|48,0
1.048,0,63,50,170800,4237,5578,1106,3634,5156,1402,1726,37|48|57|73|89|69|45|32|36|43|53|61|64|75|88|88|84|100|136|170|165|96|26|10,0
1.104,0,63,50,170800,4237,5578,1106,3634,5156,1402,1726,35|55|53|42|52|43|33|57|65|56|43|18|5|10|34|44|21|2|6|35|65|61|41|13|-14|-25|-19|-8|-13,0
1.151,0,63,50,170800,4237,5578,1106,3634,5156,1402,1726,-17|-7|0|32|55|41|8|-3|2|-5|-30|-40|-21|-13|-40|-54|-41|-26|-30|-46|-54|-50|-43|-42|-46|-45,0
1.204,0,63,50,170800,4237,5578,1106,3634,5156,1402,1726,-22|-5|-28|-56|-39|-21|-44|-86|-109|-82|-19|9|1|-39|-85|-97|-69|-50|-26|2|-17|-58|-81|-86|-74,0
1.25,0,63,50,170800,4237,5578,1106,3634,5156,1402,1726,-55|-45|-42|-43|-52|-65|-52|-43|-55|-57|-36|-8|-6|-23|-13|16|6|-36|-49|-22|1|-2|-6|5,0
1.303,0,63,50,170800,4237,5578,1106,3634,5156,1402,1726,20|-2|-4|8|8|18|29|17|-2|-2|7|16|4|-19|-23|-4|3|-10|-20|-11|-11|-36|-59|-58|-41|-27|-24|-36,0
1.35,0,63,50,170800,4237,5578,1106,3634,5156,1402,1726,-57|-57|-38|-21|-5|4|16|33|34|17|19|53|71|70|76|81|85|103|99|84|89|112|129|133,0
1.403,0,63,50,170800,4237,5578,1106,3634,5156,1402,1726,121|106|107|135|162|170|155|134|117|113|136|170|182|163|134|128|124|136|156|167|162|138|121|121|119|119|130,0
1.45,0,63,50,170800,4237,5578,1106,3634,5156,1402,1726,146|164|179|184|179|152|130|120|123|131|129|123|135|162|183|185|167|139,0
1.503,0,63,50,170800,4237,5578,1106,3634,5156,1402,1726,130|138|141|125|105|98|99|108|119|108|71|52|61|72|69|67|68|64|50|41|44|45|55|65|60|65|72|73|68|54|37|26,0
1.55,0,63,50,170800,4237,5578,1106,3634,5156,1402,1726,34|56|88|106|102|71|50|55|69|70|56|44|43|52|54|42|25|10|10|16|19|6|-6|-9|-6,0
1.603,0,63,50,170800,4237,5578,1106,3634,5156,1402,1726,3|7|4|0|4|24|40|41|34|12|-5|-6|12|7|-22|-39|-33|-17|-4|-9|-24|-28|-18|3|12,0
