Time elapsed,Signal,Attention,Meditation,EEG delta, EEG theta,EEG low alpha,EEG high alpha,EEG low beta,EEG high beta,EEG low gamma,EEG mid gamma,Raw,Blink strength
0.0470123,0,29,51,335611,16282,15921,6009,8703,3154,1992,1547,147|200|153|76|51|28|20|12|-3|-2|36|69|49|25|74|103|86|76|80|56|12|3|8|4,0
0.100006,0,29,51,335611,16282,15921,6009,8703,3154,1992,1547,-1|5|1|-7|17|42|39|16|10|29|52|86|83|44|5|1|36|87|106|68|36|82|161|164|106|60|36,0
0.147018,0,29,51,335611,16282,15921,6009,8703,3154,1992,1547,39|75|122|72|-3|-9|1|-3|12|42|34|-9|-33|4|51|68|75|80|67|42|9|12|51|75|60,0
0.200012,0,29,51,335611,16282,15921,6009,8703,3154,1992,1547,64|80|129|136|116|71|26|60|134|203|123|-11|-26|50|104|58|7|18|25|-20|-51|-18|8|-5|-65|-99,0
0.247009,0,29,51,335611,16282,15921,6009,8703,3154,1992,1547,-50|23|52|27|34|51|52|19|-14|6|35|-1|-44|-51|-2|55|41|5|-13|-33|-43|-18|16|-1|8,0
0.300003,0,29,51,335611,16282,15921,6009,8703,3154,1992,1547,35|8|-2|21|52|92|160|203|154|35|-60|-58|0|36|34|18|24|33|42|55|60|69|75|49|16|-21|-30,0
0.347015,0,29,51,335611,16282,15921,6009,8703,3154,1992,1547,-29|-61|-81|-54|1|70|108|100|71|48|86|149|131|107|139|165|163|179|242|296|276|232|248,0
0.400009,0,29,51,335611,16282,15921,6009,8703,3154,1992,1547,295|331|328|310|344|376|356|316|294|292|293|306|311|304|299,0
0.447006,0,29,51,335611,16282,15921,6009,8703,3154,1992,1547,267|231|180|101|12|-55|-100|-148|-197|-230|-269|-316|-341|-348|-340|-333|-353|-376|-396|-411|-414|-410|-386|-347|-313|-286|-264|-246|-228|-229|-228|-204|-187|-189|-210|-201|-170,0
0.5,0,29,51,335611,16282,15921,6009,8703,3154,1992,1547,-145|-134|-130|-106|-73|-55|-46|-29|-7|20|41|39|22|21|36|49|59|71|71|59|54|52|53|55|68|82,0
0.547012,0,29,51,335611,16282,15921,6009,8703,3154,1992,1547,88|99|100|90|85|74|53|48|58|60|60|61|56|42|40|50|58|57|56|64|61|53|45|60|90,0
0.600006,0,29,51,335611,16282,15921,6009,8703,3154,1992,1547,101|91|87|98|105|106|107|124|141|135|121|118|116|117|136|149|141|116|90|83|101|105|86|73|68|50|41|50,0
0.647018,0,29,51,335611,16282,15921,6009,8703,3154,1992,1547,48|50|57|66|70|69|65|57|49|49|55|64|80|106|108|67|40|50|74|93|89|72|66|66,0
0.700012,0,29,51,335611,16282,15921,6009,8703,3154,1992,1547,60|45|42|56|70|71|81|76|51|32|42|50|48|50|49|51|69|86|82|66|54|50|58|68|66|60|73,0
0.747009,0,44,40,551509,14781,3585,4139,12437,8095,4594,791,104|100|72|72|83|92|90|68|43|34|51|84|104|101|91|88|98|107|106|89,0
0.800003,0,44,40,551509,14781,3585,4139,12437,8095,4594,791,70|54|43|42|38|40|57|58|48|43|52|58|56|43|26|19|16|17|25|48|53|36|22|40|86|98|72|38,0
0.847015,0,44,40,551509,14781,3585,4139,12437,8095,4594,791,34|64|85|84|88|96|90|104|124|112|58|3|-19|-18|-5|5|-10|-21|-7|32|60|57|50|68|84|84|87,0
0.900009,0,44,40,551509,14781,3585,4139,12437,8095,4594,791,89|80|81|86|92|104|120|129|133|125|122|120|116|105|97|82|71|68|51|26|12|10|10|16|16|-3|-23,0
0.947006,0,44,40,551509,14781,3585,4139,12437,8095,4594,791,-24|-3|23|21|6|8|11|19|11|-3|-1|33|43|24|-3|4|42|80|87|70|68|107|161|173,0
1,0,44,40,551509,14781,3585,4139,12437,8095,4594,791,164|165|180|196|216|230|229|232|249|274|283|296|308|288|260|252|252|250|236|233|245|249|244|237|217|167|122,0
1.04701,0,44,40,551509,14781,3585,4139,12437,8095,4594,791,107|97|73|42|9|-36|-61|-67|-72|-101|-139|-193|-232|-241|-243|-258|-293|-333|-341|-328|-305|-294|-299,0
1.10001,0,44,40,551509,14781,3585,4139,12437,8095,4594,791,-314|-315|-302|-293|-279|-265|-265|-278|-269|-251|-234|-215|-196|-180|-167|-163|-154|-148|-135|-110|-103|-109|-125|-134|-113|-69|-54|-65,0
1.14702,0,44,40,551509,14781,3585,4139,12437,8095,4594,791,-71|-61|-49|-35|-24|-20|-9|-3|-8|1|24|25|12|10|20|32|27|20|21|27|23|26|38|55,0
1.20001,0,44,40,551509,14781,3585,4139,12437,8095,4594,791,69|71|72|69|60|65|80|91|116|130|120|114|116|106|85|82|84|82|89|88|80|86|105|117|129|136|123,0
1.24701,0,44,40,551509,14781,3585,4139,12437,8095,4594,791,118|119|113|113|116|115|116|114|106|102|100|107|114|106|113|121|112|105|101|87|82|101|117|104,0
1.3,0,44,40,551509,14781,3585,4139,12437,8095,4594,791,88|85|76|69|72|85|88|82|76|86|93|97|99|101|97|81|58|51|69|80|66|56|61|72|82|76|68|80,0
1.34702,0,44,40,551509,14781,3585,4139,12437,8095,4594,791,106|112|99|99|106|117|105|70|29|21|40|60|59|50|56|67|69|65|60|60|64|60|52|53,0
1.40001,0,44,40,551509,14781,3585,4139,12437,8095,4594,791,73|73|54|39|33|37|33|19|6|12|36|55|49|21|8|35|65|68|52|45|61|80|84|91|97|100|87,0
1.44701,0,44,40,551509,14781,3585,4139,12437,8095,4594,791,71|56|53|51|48|53|59|61|58|50|43|48|60|80|92|89|71|65|58|56|48|37|39|44,0
1.5,0,44,40,551509,14781,3585,4139,12437,8095,4594,791,65|83|72|36|16|19|20|20|22|25|33|56|71|55|37|44|74|92|81|50|24|17|27|36|36|34|34,0
